;Scopy version,f4beeb1
;Exported on,Saturday October 07/10/2023
;Device,M2K
;Nr of samples,1000
;Sample rate,0
;Tool,Network Analyzer
;Additional Information,Reference channel: 1
Sample,Frequency(Hz),Magnitude(dB),Phase(°)
562,365227,-0.555242,-16.9377
563,366070,-0.515083,-17.8066
564,366914,-0.545282,-17.2117
565,367761,-0.547851,-17.8488
566,368610,-0.547085,-17.5335
567,369460,-0.569683,-17.7442
568,370313,-0.560876,-17.8899
569,371167,-0.51231,-17.6531
570,372024,-0.565613,-18.5566
571,372882,-0.56123,-18.5591
572,373743,-0.565515,-18.5678
573,374605,-0.580057,-18.0896
574,375469,-0.621446,-18.34
575,376336,-0.59786,-18.6427
576,377204,-0.60415,-18.6412
577,378075,-0.695482,-18.6132
578,378947,-0.56374,-18.4927
579,379822,-0.574317,-18.6309
580,380698,-0.682636,-18.9357
581,381576,-0.617244,-18.8576
582,382457,-0.673732,-19.3052
583,383340,-0.635093,-19.2445
584,384224,-0.659304,-19.4712
585,385111,-0.582226,-19.2377
586,385999,-0.658486,-19.0856
587,386890,-0.747772,-19.5357
588,387783,-0.655765,-19.4825
589,388678,-0.74363,-19.9311
590,389575,-0.660653,-20.0043
591,390474,-0.724837,-20.0896
592,391375,-0.71329,-20.2433
593,392278,-0.81311,-20.1488
594,393183,-0.638862,-20.5502
595,394090,-0.797775,-20.2812
596,395000,-0.832044,-21.0207
597,395911,-0.814862,-20.8993
598,396825,-0.75978,-20.6254
599,397740,-0.798614,-20.9246
600,398658,-0.807482,-21.2794
601,399578,-0.796417,-21.3608
602,400500,-0.891403,-21.1071
603,401424,-0.834879,-21.0784
604,402351,-0.796116,-22.2588
605,403279,-0.794505,-22.1102
606,404210,-0.835288,-22.4068
607,405142,-0.940183,-22.2817
608,406077,-0.903778,-22.1617
609,407014,-0.955677,-22.4891
610,407953,-0.96306,-22.6422
611,408895,-1.0989,-23.0575
612,409838,-1.09814,-22.0842
613,410784,-1.14033,-22.3694
614,411732,-1.05223,-22.9059
615,412682,-0.991111,-22.7955
616,413634,-0.984412,-22.9395
617,414589,-1.01438,-22.7575
618,415546,-1.03051,-23.3402
619,416504,-1.03687,-23.5208
620,417466,-1.09546,-24.5145
621,418429,-1.09622,-23.3956
622,419394,-1.21329,-24.5321
623,420362,-1.17455,-25.1467
624,421332,-1.22551,-25.3334
625,422304,-1.26802,-25.4421
626,423279,-1.36464,-25.1312
627,424256,-1.46655,-25.2252
628,425235,-1.58838,-25.1172
629,426216,-1.63097,-24.2708
630,427199,-1.7469,-22.5389
